Admin2,Current_Deaths,% change in deaths,Current_Confirmed,Province_State,change in cases,% change in cases
Autauga,[4],[3.],[43],Alabama,[24],[1.26315789]
Baldwin,[3],[2.],[174],Alabama,[103],[1.45070423]
Barbour,[1],[inf],[37],Alabama,[27],[2.7]
Bibb,[0],[nan],[42],Alabama,[26],[1.625]
Blount,[0],[nan],[36],Alabama,[23],[1.76923077]
Bullock,[0],[nan],[12],Alabama,[8],[2.]
Butler,[1],[inf],[50],Alabama,[43],[6.14285714]
Calhoun,[3],[inf],[93],Alabama,[34],[0.57627119]
Chambers,[19],[1.375],[293],Alabama,[95],[0.47979798]
Cherokee,[0],[nan],[15],Alabama,[7],[0.875]
Chilton,[1],[inf],[53],Alabama,[23],[0.76666667]
Choctaw,[0],[nan],[39],Alabama,[29],[2.9]
Clarke,[1],[inf],[30],Alabama,[11],[0.57894737]
Clay,[1],[inf],[21],Alabama,[7],[0.5]
Cleburne,[1],[inf],[12],Alabama,[0],[0.]
Coffee,[0],[nan],[107],Alabama,[76],[2.4516129]
Colbert,[2],[1.],[27],Alabama,[18],[2.]
Conecuh,[0],[nan],[9],Alabama,[4],[0.8]
Coosa,[1],[inf],[31],Alabama,[13],[0.72222222]
Covington,[1],[inf],[36],Alabama,[23],[1.76923077]
Crenshaw,[0],[nan],[17],Alabama,[14],[4.66666667]
Cullman,[0],[-1.],[55],Alabama,[16],[0.41025641]
Dale,[0],[nan],[25],Alabama,[17],[2.125]
Dallas,[3],[inf],[37],Alabama,[23],[1.64285714]
DeKalb,[2],[inf],[77],Alabama,[51],[1.96153846]
Elmore,[1],[inf],[84],Alabama,[51],[1.54545455]
Escambia,[1],[inf],[27],Alabama,[19],[2.375]
Etowah,[8],[0.14285714],[139],Alabama,[64],[0.85333333]
Fayette,[0],[nan],[6],Alabama,[2],[0.5]
Franklin,[0],[nan],[45],Alabama,[35],[3.5]
Geneva,[0],[nan],[9],Alabama,[8],[8.]
Greene,[1],[inf],[50],Alabama,[33],[1.94117647]
Hale,[2],[inf],[43],Alabama,[28],[1.86666667]
Henry,[1],[inf],[23],Alabama,[12],[1.09090909]
Houston,[3],[2.],[87],Alabama,[43],[0.97727273]
Jackson,[2],[0.],[47],Alabama,[23],[0.95833333]
Jefferson,[43],[1.86666667],[880],Alabama,[283],[0.47403685]
Lamar,[0],[nan],[10],Alabama,[2],[0.25]
Lauderdale,[2],[-0.5],[31],Alabama,[10],[0.47619048]
Lawrence,[0],[nan],[12],Alabama,[4],[0.5]
Lee,[28],[2.5],[386],Alabama,[150],[0.63559322]
Limestone,[0],[nan],[44],Alabama,[7],[0.18918919]
Lowndes,[1],[inf],[57],Alabama,[43],[3.07142857]
Macon,[2],[1.],[36],Alabama,[22],[1.57142857]
Madison,[4],[0.33333333],[224],Alabama,[37],[0.19786096]
Marengo,[3],[2.],[46],Alabama,[25],[1.19047619]
Marion,[6],[1.],[76],Alabama,[28],[0.58333333]
Marshall,[6],[2.],[316],Alabama,[219],[2.25773196]
Mobile,[51],[2.4],[1033],Alabama,[579],[1.2753304]
Monroe,[1],[0.],[12],Alabama,[6],[1.]
Montgomery,[6],[0.5],[316],Alabama,[197],[1.65546218]
Morgan,[0],[nan],[68],Alabama,[30],[0.78947368]
Perry,[0],[nan],[9],Alabama,[3],[0.5]
Pickens,[1],[inf],[48],Alabama,[26],[1.18181818]
Pike,[0],[nan],[67],Alabama,[47],[2.35]
Randolph,[4],[0.],[62],Alabama,[26],[0.72222222]
Russell,[0],[nan],[55],Alabama,[31],[1.29166667]
Shelby,[11],[1.2],[320],Alabama,[108],[0.50943396]
St. Clair,[0],[nan],[70],Alabama,[28],[0.66666667]
Sumter,[2],[inf],[56],Alabama,[36],[1.8]
Talladega,[2],[inf],[59],Alabama,[25],[0.73529412]
Tallapoosa,[17],[3.25],[282],Alabama,[184],[1.87755102]
Tuscaloosa,[1],[inf],[202],Alabama,[83],[0.69747899]
Unassigned,[0],[nan],[0],Alabama,[0],[nan]
Walker,[0],[nan],[95],Alabama,[14],[0.17283951]
Washington,[1],[0.],[34],Alabama,[22],[1.83333333]
Wilcox,[1],[inf],[62],Alabama,[32],[1.06666667]
Winston,[0],[nan],[13],Alabama,[9],[2.25]
Anchorage,[4],[0.],[179],Alaska,[52],[0.40944882]
Bethel,[0],[nan],[1],Alaska,[0],[0.]
Fairbanks North Star,[1],[0.],[81],Alaska,[2],[0.02531646]
Juneau,[0],[nan],[27],Alaska,[11],[0.6875]
Kenai Peninsula,[0],[nan],[19],Alaska,[4],[0.26666667]
Ketchikan Gateway,[0],[nan],[16],Alaska,[1],[0.06666667]
Kodiak Island,[0],[],[1],Alaska,[],[]
Matanuska-Susitna,[0],[nan],[21],Alaska,[7],[0.5]
Nome,[0],[],[1],Alaska,[],[]
Petersburg,[0],[nan],[4],Alaska,[2],[1.]
Prince of Wales-Hyder,[0],[nan],[2],Alaska,[1],[1.]
Sitka,[0],[],[1],Alaska,[],[]
Southeast Fairbanks,[0],[nan],[1],Alaska,[0],[0.]
Unassigned,[4],[0.33333333],[0],Alaska,[0],[nan]
Yukon-Koyukuk,[0],[nan],[1],Alaska,[0],[0.]
Apache,[5],[inf],[392],Arizona,[320],[4.44444444]
Cochise,[0],[nan],[38],Arizona,[23],[1.53333333]
Coconino,[42],[1.8],[453],Arizona,[210],[0.86419753]
Gila,[0],[nan],[12],Arizona,[9],[3.]
Graham,[0],[nan],[10],Arizona,[8],[4.]
Greenlee,[0],[nan],[2],Arizona,[0],[0.]
La Paz,[1],[inf],[8],Arizona,[4],[1.]
Maricopa,[140],[1.9787234],[3723],Arizona,[1763],[0.8994898]
Mohave,[7],[inf],[105],Arizona,[75],[2.5]
Navajo,[18],[17.],[682],Arizona,[347],[1.0358209]
Pima,[80],[1.75862069],[1215],Arizona,[593],[0.95337621]
Pinal,[11],[inf],[387],Arizona,[224],[1.37423313]
Santa Cruz,[0],[nan],[31],Arizona,[23],[2.875]
Unassigned,[2],[-0.90909091],[0],Arizona,[0],[nan]
Yavapai,[1],[0.],[79],Arizona,[16],[0.25396825]
Yuma,[1],[inf],[72],Arizona,[52],[2.6]
Arkansas,[0],[nan],[2],Arkansas,[0],[0.]
Ashley,[0],[nan],[13],Arkansas,[3],[0.3]
Baxter,[0],[nan],[5],Arkansas,[1],[0.25]
Benton,[0],[nan],[101],Arkansas,[53],[1.10416667]
Boone,[0],[nan],[5],Arkansas,[2],[0.66666667]
Bradley,[1],[inf],[11],Arkansas,[4],[0.57142857]
Carroll,[0],[nan],[5],Arkansas,[3],[1.5]
Chicot,[0],[nan],[9],Arkansas,[4],[0.8]
Clark,[0],[nan],[27],Arkansas,[0],[0.]
Clay,[0],[nan],[3],Arkansas,[2],[2.]
Cleburne,[4],[0.],[73],Arkansas,[3],[0.04285714]
Cleveland,[0],[nan],[10],Arkansas,[2],[0.25]
Columbia,[0],[nan],[12],Arkansas,[9],[3.]
Conway,[1],[0.],[13],Arkansas,[9],[2.25]
Craighead,[0],[nan],[73],Arkansas,[42],[1.35483871]
Crawford,[0],[nan],[4],Arkansas,[1],[0.33333333]
Crittenden,[5],[1.5],[180],Arkansas,[87],[0.93548387]
Cross,[0],[nan],[16],Arkansas,[10],[1.66666667]
Dallas,[0],[nan],[1],Arkansas,[0],[0.]
Desha,[0],[nan],[16],Arkansas,[10],[1.66666667]
Drew,[1],[0.],[14],Arkansas,[8],[1.33333333]
Faulkner,[2],[1.],[76],Arkansas,[17],[0.28813559]
Franklin,[0],[nan],[2],Arkansas,[1],[1.]
Fulton,[0],[],[1],Arkansas,[],[]
Garland,[0],[nan],[115],Arkansas,[34],[0.41975309]
Grant,[0],[nan],[13],Arkansas,[3],[0.3]
Greene,[0],[nan],[16],Arkansas,[10],[1.66666667]
Hempstead,[1],[0.],[6],Arkansas,[1],[0.2]
Hot Spring,[0],[nan],[16],Arkansas,[8],[1.]
Howard,[0],[nan],[13],Arkansas,[5],[0.625]
Independence,[0],[nan],[9],Arkansas,[4],[0.8]
Izard,[0],[nan],[5],Arkansas,[4],[4.]
Jackson,[0],[],[1],Arkansas,[],[]
Jefferson,[13],[3.33333333],[168],Arkansas,[73],[0.76842105]
Johnson,[0],[nan],[29],Arkansas,[16],[1.23076923]
Lafayette,[1],[inf],[7],Arkansas,[5],[2.5]
Lawrence,[1],[0.],[46],Arkansas,[35],[3.18181818]
Lee,[1],[inf],[3],Arkansas,[1],[0.5]
Lincoln,[0],[nan],[756],Arkansas,[745],[67.72727273]
Logan,[0],[nan],[3],Arkansas,[1],[0.5]
Lonoke,[0],[nan],[41],Arkansas,[11],[0.36666667]
Madison,[0],[nan],[1],Arkansas,[0],[0.]
Marion,[0],[nan],[1],Arkansas,[0],[0.]
Miller,[1],[inf],[33],Arkansas,[11],[0.5]
Mississippi,[0],[nan],[15],Arkansas,[8],[1.14285714]
Monroe,[0],[nan],[4],Arkansas,[2],[1.]
Montgomery,[0],[],[1],Arkansas,[],[]
Nevada,[0],[nan],[1],Arkansas,[0],[0.]
Newton,[0],[nan],[3],Arkansas,[2],[2.]
Ouachita,[0],[nan],[6],Arkansas,[1],[0.2]
Perry,[0],[nan],[6],Arkansas,[4],[2.]
Phillips,[1],[0.],[5],Arkansas,[2],[0.66666667]
Pike,[0],[nan],[3],Arkansas,[1],[0.5]
Poinsett,[1],[inf],[19],Arkansas,[12],[1.71428571]
Polk,[0],[nan],[8],Arkansas,[2],[0.33333333]
Pope,[0],[nan],[43],Arkansas,[13],[0.43333333]
Prairie,[0],[nan],[2],Arkansas,[0],[0.]
Pulaski,[16],[0.77777778],[500],Arkansas,[244],[0.953125]
Randolph,[0],[nan],[17],Arkansas,[9],[1.125]
Saline,[1],[0.],[59],Arkansas,[27],[0.84375]
Scott,[0],[nan],[1],Arkansas,[0],[0.]
Searcy,[0],[nan],[6],Arkansas,[0],[0.]
Sebastian,[0],[nan],[12],Arkansas,[2],[0.2]
Sevier,[0],[nan],[11],Arkansas,[3],[0.375]
Sharp,[0],[nan],[6],Arkansas,[4],[2.]
St. Francis,[0],[nan],[83],Arkansas,[51],[1.59375]
Stone,[0],[nan],[7],Arkansas,[0],[0.]
Unassigned,[0],[nan],[228],Arkansas,[203],[8.12]
Union,[0],[nan],[44],Arkansas,[26],[1.44444444]
Van Buren,[2],[0.],[28],Arkansas,[2],[0.07692308]
Washington,[3],[inf],[84],Arkansas,[47],[1.27027027]
White,[1],[inf],[33],Arkansas,[5],[0.17857143]
Woodruff,[0],[nan],[1],Arkansas,[0],[0.]
Yell,[0],[nan],[3],Arkansas,[2],[2.]
