Admin2,Current_Deaths,% change in deaths,Current_Confirmed,Province_State,change in cases,% change in cases
Autauga,[7],[0.4],[405],Alabama,[172],[0.73819742]
Baldwin,[9],[0.],[398],Alabama,[106],[0.3630137]
Barbour,[1],[0.],[265],Alabama,[93],[0.54069767]
Bibb,[1],[0.],[123],Alabama,[47],[0.61842105]
Blount,[1],[0.],[136],Alabama,[73],[1.15873016]
Bullock,[9],[0.5],[318],Alabama,[109],[0.5215311]
Butler,[26],[0.44444444],[567],Alabama,[153],[0.36956522]
Calhoun,[4],[0.33333333],[202],Alabama,[38],[0.23170732]
Chambers,[28],[0.12],[493],Alabama,[135],[0.37709497]
Cherokee,[6],[1.],[56],Alabama,[18],[0.47368421]
Chilton,[2],[1.],[151],Alabama,[48],[0.46601942]
Choctaw,[11],[0.1],[185],Alabama,[32],[0.20915033]
Clarke,[4],[1.],[208],Alabama,[62],[0.42465753]
Clay,[2],[0.],[30],Alabama,[2],[0.07142857]
Cleburne,[1],[0.],[22],Alabama,[7],[0.46666667]
Coffee,[1],[0.],[310],Alabama,[72],[0.30252101]
Colbert,[5],[1.5],[290],Alabama,[104],[0.55913978]
Conecuh,[1],[0.],[132],Alabama,[91],[2.2195122]
Coosa,[1],[0.],[48],Alabama,[8],[0.2]
Covington,[1],[0.],[212],Alabama,[131],[1.61728395]
Crenshaw,[3],[0.],[112],Alabama,[37],[0.49333333]
Cullman,[1],[0.],[298],Alabama,[151],[1.02721088]
Dale,[0],[nan],[195],Alabama,[73],[0.59836066]
Dallas,[6],[1.],[590],Alabama,[311],[1.11469534]
DeKalb,[5],[0.66666667],[394],Alabama,[145],[0.58232932]
Elmore,[11],[0.375],[633],Alabama,[271],[0.74861878]
Escambia,[5],[0.66666667],[137],Alabama,[65],[0.90277778]
Etowah,[12],[0.],[371],Alabama,[111],[0.42692308]
Fayette,[1],[inf],[57],Alabama,[41],[2.5625]
Franklin,[10],[0.25],[769],Alabama,[207],[0.3683274]
Geneva,[0],[nan],[49],Alabama,[6],[0.13953488]
Greene,[5],[0.25],[151],Alabama,[56],[0.58947368]
Hale,[16],[0.77777778],[256],Alabama,[81],[0.46285714]
Henry,[2],[0.],[111],Alabama,[31],[0.3875]
Houston,[4],[0.],[341],Alabama,[120],[0.54298643]
Jackson,[3],[0.5],[147],Alabama,[66],[0.81481481]
Jefferson,[123],[0.19417476],[2791],Alabama,[932],[0.50134481]
Lamar,[0],[nan],[54],Alabama,[28],[1.07692308]
Lauderdale,[4],[1.],[288],Alabama,[122],[0.73493976]
Lawrence,[0],[nan],[72],Alabama,[22],[0.44]
Lee,[35],[0.06060606],[811],Alabama,[261],[0.47454545]
Limestone,[0],[nan],[260],Alabama,[152],[1.40740741]
Lowndes,[14],[0.16666667],[409],Alabama,[157],[0.62301587]
Macon,[6],[0.5],[138],Alabama,[53],[0.62352941]
Madison,[6],[0.5],[649],Alabama,[306],[0.89212828]
Marengo,[10],[0.66666667],[237],Alabama,[66],[0.38596491]
Marion,[12],[0.09090909],[165],Alabama,[43],[0.35245902]
Marshall,[9],[0.],[1031],Alabama,[331],[0.47285714]
Mobile,[131],[0.11016949],[2899],Alabama,[628],[0.27653016]
Monroe,[2],[0.],[153],Alabama,[110],[2.55813953]
Montgomery,[75],[0.74418605],[3106],Alabama,[1348],[0.76678043]
Morgan,[2],[1.],[710],Alabama,[423],[1.4738676]
Perry,[0],[nan],[86],Alabama,[44],[1.04761905]
Pickens,[6],[0.5],[153],Alabama,[35],[0.29661017]
Pike,[3],[inf],[352],Alabama,[146],[0.70873786]
Randolph,[8],[0.14285714],[142],Alabama,[15],[0.11811024]
Russell,[0],[nan],[346],Alabama,[171],[0.97714286]
Shelby,[21],[0.05],[740],Alabama,[218],[0.41762452]
St. Clair,[2],[1.],[193],Alabama,[65],[0.5078125]
Sumter,[12],[0.71428571],[267],Alabama,[43],[0.19196429]
Talladega,[6],[0.2],[170],Alabama,[53],[0.45299145]
Tallapoosa,[68],[0.04615385],[506],Alabama,[79],[0.18501171]
Tuscaloosa,[29],[0.8125],[1526],Alabama,[727],[0.90988736]
Unassigned,[10],[4.],[419],Alabama,[35],[0.09114583]
Walker,[8],[3.],[664],Alabama,[294],[0.79459459]
Washington,[6],[0.],[91],Alabama,[20],[0.28169014]
Wilcox,[8],[0.14285714],[240],Alabama,[90],[0.6]
Winston,[1],[inf],[172],Alabama,[82],[0.91111111]
Anchorage,[6],[0.5],[338],Alaska,[106],[0.45689655]
Bethel,[0],[nan],[6],Alaska,[3],[1.]
Fairbanks North Star,[2],[0.],[107],Alaska,[22],[0.25882353]
Haines,[0],[],[2],Alaska,[],[]
Juneau,[0],[nan],[39],Alaska,[6],[0.18181818]
Kenai Peninsula,[2],[0.],[117],Alaska,[68],[1.3877551]
Ketchikan Gateway,[0],[nan],[21],Alaska,[5],[0.3125]
Kodiak Island,[0],[nan],[3],Alaska,[2],[2.]
Matanuska-Susitna,[1],[0.],[53],Alaska,[24],[0.82758621]
Nome,[0],[nan],[5],Alaska,[2],[0.66666667]
North Slope,[0],[nan],[3],Alaska,[2],[2.]
Northwest Arctic,[0],[nan],[4],Alaska,[2],[1.]
Petersburg,[1],[0.],[4],Alaska,[0],[0.]
Prince of Wales-Hyder,[0],[nan],[2],Alaska,[0],[0.]
Sitka,[0],[nan],[9],Alaska,[7],[3.5]
Southeast Fairbanks,[0],[nan],[3],Alaska,[0],[0.]
Unassigned,[0],[nan],[0],Alaska,[0],[nan]
Wrangell,[0],[],[3],Alaska,[],[]
Yukon-Koyukuk,[0],[nan],[1],Alaska,[0],[0.]
Apache,[63],[0.61538462],[2103],Arizona,[577],[0.37811271]
Cochise,[6],[1.],[332],Arizona,[256],[3.36842105]
Coconino,[90],[0.11111111],[1470],Arizona,[315],[0.27272727]
Gila,[3],[2.],[125],Arizona,[94],[3.03225806]
Graham,[1],[0.],[59],Arizona,[27],[0.84375]
Greenlee,[1],[inf],[14],Arizona,[8],[1.33333333]
La Paz,[3],[2.],[257],Arizona,[178],[2.25316456]
Maricopa,[615],[0.42032333],[25999],Arizona,[16062],[1.61638321]
Mohave,[72],[0.6],[686],Arizona,[283],[0.70223325]
Navajo,[95],[0.484375],[2928],Arizona,[1055],[0.56326749]
Pima,[240],[0.2972973],[5019],Arizona,[2637],[1.1070529]
Pinal,[49],[0.225],[2130],Arizona,[1265],[1.46242775]
Santa Cruz,[14],[inf],[1293],Arizona,[963],[2.91818182]
Unassigned,[1],[-0.66666667],[0],Arizona,[0],[nan]
Yavapai,[7],[0.16666667],[417],Arizona,[120],[0.4040404]
Yuma,[61],[2.8125],[4078],Arizona,[2941],[2.58663149]
Arkansas,[0],[nan],[18],Arkansas,[11],[1.57142857]
Ashley,[1],[inf],[51],Arkansas,[32],[1.68421053]
Baxter,[0],[nan],[14],Arkansas,[2],[0.16666667]
Benton,[11],[4.5],[1841],Arkansas,[1234],[2.03294893]
Boone,[0],[nan],[10],Arkansas,[4],[0.66666667]
Bradley,[2],[1.],[35],Arkansas,[13],[0.59090909]
Carroll,[3],[2.],[102],Arkansas,[77],[3.08]
Chicot,[2],[inf],[67],Arkansas,[52],[3.46666667]
Clark,[0],[nan],[50],Arkansas,[11],[0.28205128]
Clay,[0],[nan],[31],Arkansas,[27],[6.75]
Cleburne,[4],[0.],[76],Arkansas,[2],[0.02702703]
Cleveland,[0],[nan],[22],Arkansas,[3],[0.15789474]
Columbia,[2],[0.],[31],Arkansas,[8],[0.34782609]
Conway,[3],[2.],[26],Arkansas,[12],[0.85714286]
Craighead,[5],[inf],[385],Arkansas,[157],[0.68859649]
Crawford,[0],[nan],[83],Arkansas,[53],[1.76666667]
Crittenden,[10],[0.11111111],[573],Arkansas,[187],[0.48445596]
Cross,[1],[inf],[82],Arkansas,[30],[0.57692308]
Dallas,[0],[nan],[4],Arkansas,[3],[3.]
Desha,[0],[nan],[26],Arkansas,[7],[0.36842105]
Drew,[1],[0.],[32],Arkansas,[12],[0.6]
Faulkner,[3],[0.],[227],Arkansas,[125],[1.2254902]
Franklin,[0],[nan],[10],Arkansas,[6],[1.5]
Fulton,[0],[nan],[9],Arkansas,[2],[0.28571429]
Garland,[1],[0.],[172],Arkansas,[36],[0.26470588]
Grant,[0],[nan],[24],Arkansas,[6],[0.33333333]
Greene,[0],[nan],[87],Arkansas,[23],[0.359375]
Hempstead,[1],[0.],[43],Arkansas,[25],[1.38888889]
Hot Spring,[0],[nan],[46],Arkansas,[14],[0.4375]
Howard,[0],[nan],[54],Arkansas,[33],[1.57142857]
Independence,[0],[nan],[44],Arkansas,[13],[0.41935484]
Izard,[1],[inf],[20],Arkansas,[4],[0.25]
Jackson,[0],[nan],[20],Arkansas,[17],[5.66666667]
Jefferson,[28],[0.12],[640],Arkansas,[117],[0.22370937]
Johnson,[0],[nan],[121],Arkansas,[73],[1.52083333]
Lafayette,[1],[0.],[13],Arkansas,[4],[0.44444444]
Lawrence,[9],[0.8],[93],Arkansas,[9],[0.10714286]
Lee,[1],[0.],[570],Arkansas,[549],[26.14285714]
Lincoln,[11],[0.22222222],[1023],Arkansas,[40],[0.04069176]
Little River,[0],[nan],[35],Arkansas,[29],[4.83333333]
Logan,[0],[nan],[21],Arkansas,[14],[2.]
Lonoke,[0],[nan],[84],Arkansas,[35],[0.71428571]
Madison,[0],[nan],[137],Arkansas,[114],[4.95652174]
Marion,[0],[nan],[2],Arkansas,[0],[0.]
Miller,[2],[1.],[78],Arkansas,[33],[0.73333333]
Mississippi,[3],[0.5],[107],Arkansas,[31],[0.40789474]
Monroe,[0],[nan],[7],Arkansas,[2],[0.4]
Montgomery,[0],[nan],[2],Arkansas,[0],[0.]
Nevada,[2],[inf],[87],Arkansas,[80],[11.42857143]
Newton,[0],[nan],[3],Arkansas,[0],[0.]
Ouachita,[0],[nan],[17],Arkansas,[7],[0.7]
Perry,[0],[nan],[24],Arkansas,[10],[0.71428571]
Phillips,[1],[0.],[75],Arkansas,[53],[2.40909091]
Pike,[0],[nan],[7],Arkansas,[2],[0.4]
Poinsett,[3],[0.5],[52],Arkansas,[19],[0.57575758]
Polk,[0],[nan],[62],Arkansas,[41],[1.95238095]
Pope,[2],[1.],[304],Arkansas,[143],[0.88819876]
Prairie,[0],[nan],[12],Arkansas,[10],[5.]
Pulaski,[48],[0.41176471],[1445],Arkansas,[542],[0.60022148]
Randolph,[1],[inf],[31],Arkansas,[5],[0.19230769]
Saline,[2],[1.],[195],Arkansas,[82],[0.72566372]
Scott,[0],[nan],[7],Arkansas,[6],[6.]
Searcy,[0],[nan],[7],Arkansas,[0],[0.]
Sebastian,[2],[inf],[219],Arkansas,[176],[4.09302326]
Sevier,[5],[1.5],[550],Arkansas,[325],[1.44444444]
Sharp,[4],[1.],[50],Arkansas,[4],[0.08695652]
St. Francis,[3],[2.],[783],Arkansas,[107],[0.15828402]
Stone,[0],[nan],[11],Arkansas,[2],[0.22222222]
Unassigned,[0],[nan],[533],Arkansas,[344],[1.82010582]
Union,[13],[0.625],[220],Arkansas,[47],[0.2716763]
Van Buren,[2],[0.],[30],Arkansas,[2],[0.07142857]
Washington,[17],[1.42857143],[2222],Arkansas,[1660],[2.95373665]
White,[1],[0.],[70],Arkansas,[26],[0.59090909]
Woodruff,[0],[nan],[6],Arkansas,[5],[5.]
Yell,[2],[1.],[361],Arkansas,[199],[1.22839506]
Alameda,[119],[0.23958333],[4702],California,[1232],[0.35504323]
Alpine,[0],[nan],[2],California,[0],[0.]
Amador,[0],[nan],[12],California,[2],[0.2]
Butte,[1],[inf],[94],California,[43],[0.84313725]
Calaveras,[0],[nan],[28],California,[13],[0.86666667]
Colusa,[0],[nan],[7],California,[0],[0.]
Contra Costa,[56],[0.47368421],[2148],California,[680],[0.46321526]
Del Norte,[1],[inf],[48],California,[2],[0.04347826]
El Dorado,[0],[nan],[130],California,[34],[0.35416667]
Fresno,[66],[0.88571429],[3187],California,[1444],[0.82845668]
Glenn,[0],[nan],[42],California,[26],[1.625]
Humboldt,[4],[0.33333333],[108],California,[7],[0.06930693]
Imperial,[64],[1.20689655],[4744],California,[2993],[1.70930897]
Inyo,[1],[0.],[24],California,[4],[0.2]
Kern,[58],[0.52631579],[3706],California,[1384],[0.5960379]
Kings,[12],[1.4],[2057],California,[935],[0.83333333]
