Admin2,Current_Deaths,% change in deaths,Current_Confirmed,Province_State,change in cases,% change in cases
Autauga,[4],[0.33333333],[216],Alabama,[174],[4.14285714]
Baldwin,[9],[1.25],[283],Alabama,[108],[0.61714286]
Barbour,[1],[0.],[150],Alabama,[108],[2.57142857]
Bibb,[1],[inf],[72],Alabama,[30],[0.71428571]
Blount,[1],[inf],[61],Alabama,[22],[0.56410256]
Bullock,[4],[inf],[203],Alabama,[189],[13.5]
Butler,[17],[16.],[402],Alabama,[337],[5.18461538]
Calhoun,[3],[0.],[154],Alabama,[61],[0.65591398]
Chambers,[25],[0.19047619],[353],Alabama,[63],[0.21724138]
Cherokee,[3],[inf],[37],Alabama,[22],[1.46666667]
Chilton,[1],[0.],[100],Alabama,[48],[0.92307692]
Choctaw,[8],[inf],[151],Alabama,[102],[2.08163265]
Clarke,[2],[1.],[142],Alabama,[108],[3.17647059]
Clay,[2],[1.],[27],Alabama,[6],[0.28571429]
Cleburne,[1],[0.],[14],Alabama,[2],[0.16666667]
Coffee,[1],[inf],[229],Alabama,[112],[0.95726496]
Colbert,[2],[0.],[178],Alabama,[145],[4.39393939]
Conecuh,[1],[inf],[39],Alabama,[30],[3.33333333]
Coosa,[1],[0.],[38],Alabama,[9],[0.31034483]
Covington,[1],[0.],[77],Alabama,[39],[1.02631579]
Crenshaw,[3],[inf],[76],Alabama,[57],[3.]
Cullman,[0],[nan],[126],Alabama,[69],[1.21052632]
Dale,[0],[nan],[110],Alabama,[83],[3.07407407]
Dallas,[3],[0.],[260],Alabama,[218],[5.19047619]
DeKalb,[3],[0.5],[243],Alabama,[167],[2.19736842]
Elmore,[8],[3.],[339],Alabama,[251],[2.85227273]
Escambia,[3],[0.5],[57],Alabama,[28],[0.96551724]
Etowah,[11],[0.1],[248],Alabama,[109],[0.78417266]
Fayette,[0],[nan],[15],Alabama,[9],[1.5]
Franklin,[7],[inf],[545],Alabama,[467],[5.98717949]
Geneva,[0],[nan],[40],Alabama,[31],[3.44444444]
Greene,[4],[3.],[94],Alabama,[40],[0.74074074]
Hale,[8],[3.],[159],Alabama,[109],[2.18]
Henry,[2],[1.],[74],Alabama,[50],[2.08333333]
Houston,[4],[0.],[209],Alabama,[119],[1.32222222]
Jackson,[2],[0.],[77],Alabama,[28],[0.57142857]
Jefferson,[102],[1.125],[1780],Alabama,[851],[0.91603875]
Lamar,[0],[nan],[23],Alabama,[12],[1.09090909]
Lauderdale,[2],[0.],[161],Alabama,[111],[2.22]
Lawrence,[0],[nan],[48],Alabama,[35],[2.69230769]
Lee,[33],[0.13793103],[540],Alabama,[149],[0.38107417]
Limestone,[0],[nan],[94],Alabama,[50],[1.13636364]
Lowndes,[12],[11.],[238],Alabama,[171],[2.55223881]
Macon,[4],[1.],[75],Alabama,[38],[1.02702703]
Madison,[4],[0.],[327],Alabama,[102],[0.45333333]
Marengo,[6],[1.],[163],Alabama,[111],[2.13461538]
Marion,[11],[0.83333333],[121],Alabama,[43],[0.55128205]
Marshall,[9],[0.28571429],[687],Alabama,[359],[1.0945122]
Mobile,[115],[0.8852459],[2191],Alabama,[1092],[0.99363057]
Monroe,[2],[1.],[37],Alabama,[24],[1.84615385]
Montgomery,[38],[5.33333333],[1632],Alabama,[1277],[3.5971831]
Morgan,[1],[inf],[251],Alabama,[180],[2.53521127]
Perry,[0],[nan],[37],Alabama,[27],[2.7]
Pickens,[4],[1.],[111],Alabama,[61],[1.22]
Pike,[0],[nan],[198],Alabama,[129],[1.86956522]
Randolph,[7],[0.75],[125],Alabama,[63],[1.01612903]
Russell,[0],[nan],[167],Alabama,[107],[1.78333333]
Shelby,[19],[0.46153846],[503],Alabama,[183],[0.571875]
St. Clair,[1],[inf],[118],Alabama,[45],[0.61643836]
Sumter,[6],[1.],[220],Alabama,[152],[2.23529412]
Talladega,[3],[0.5],[109],Alabama,[48],[0.78688525]
Tallapoosa,[64],[2.55555556],[423],Alabama,[137],[0.47902098]
Tuscaloosa,[14],[6.],[738],Alabama,[528],[2.51428571]
Unassigned,[0],[nan],[0],Alabama,[0],[nan]
Walker,[2],[inf],[344],Alabama,[247],[2.54639175]
Washington,[6],[2.],[68],Alabama,[33],[0.94285714]
Wilcox,[7],[1.33333333],[144],Alabama,[77],[1.14925373]
Winston,[0],[nan],[88],Alabama,[73],[4.86666667]
Anchorage,[4],[0.],[214],Alaska,[29],[0.15675676]
Bethel,[0],[nan],[3],Alaska,[2],[2.]
Fairbanks North Star,[2],[0.],[85],Alaska,[3],[0.03658537]
Juneau,[0],[nan],[33],Alaska,[6],[0.22222222]
Kenai Peninsula,[2],[1.],[38],Alaska,[17],[0.80952381]
Ketchikan Gateway,[0],[nan],[16],Alaska,[0],[0.]
Kodiak Island,[0],[nan],[1],Alaska,[0],[0.]
Matanuska-Susitna,[1],[0.],[25],Alaska,[4],[0.19047619]
Nome,[0],[nan],[3],Alaska,[2],[2.]
North Slope,[0],[],[1],Alaska,[],[]
Northwest Arctic,[0],[],[2],Alaska,[],[]
Petersburg,[1],[0.],[4],Alaska,[0],[0.]
Prince of Wales-Hyder,[0],[nan],[2],Alaska,[0],[0.]
Sitka,[0],[nan],[2],Alaska,[1],[1.]
Southeast Fairbanks,[0],[nan],[3],Alaska,[2],[2.]
Unassigned,[0],[nan],[0],Alaska,[0],[nan]
Yukon-Koyukuk,[0],[nan],[1],Alaska,[0],[0.]
Apache,[35],[4.83333333],[1491],Arizona,[1013],[2.11924686]
Cochise,[3],[inf],[72],Arizona,[33],[0.84615385]
Coconino,[81],[0.84090909],[1123],Arizona,[625],[1.25502008]
Gila,[1],[inf],[30],Arizona,[17],[1.30769231]
Graham,[1],[inf],[28],Arizona,[11],[0.64705882]
Greenlee,[0],[nan],[4],Arizona,[2],[1.]
La Paz,[1],[0.],[70],Arizona,[55],[3.66666667]
Maricopa,[430],[1.92517007],[9522],Arizona,[5366],[1.29114533]
Mohave,[44],[2.38461538],[383],Arizona,[261],[2.13934426]
Navajo,[59],[1.80952381],[1833],Arizona,[1092],[1.47368421]
Pima,[185],[1.28395062],[2290],Arizona,[1023],[0.8074191]
Pinal,[39],[2.],[837],Arizona,[420],[1.00719424]
Santa Cruz,[0],[nan],[297],Arizona,[264],[8.]
Unassigned,[3],[0.5],[0],Arizona,[0],[nan]
Yavapai,[7],[6.],[296],Arizona,[214],[2.6097561]
Yuma,[15],[14.],[982],Arizona,[893],[10.03370787]
Arkansas,[0],[nan],[5],Arkansas,[3],[1.5]
Ashley,[0],[nan],[19],Arkansas,[3],[0.1875]
Baxter,[0],[nan],[11],Arkansas,[6],[1.2]
Benton,[2],[inf],[507],Arkansas,[400],[3.73831776]
